best_score,dataset,estimator_score,logit__multi_class,logit__solver,ml_steps,model,text_description,vec__lowercase,vec__max_df,vec__max_features,vec__ngram_range,cvec__lowercase,cvec__max_df,cvec__max_features,cvec__ngram_range,pca__n_components,pca__svd_solver,mnclf__alpha,mnclf__fit_prior,vec__min_df,cvec__min_df,skbest__k,rfclf__criterion,rfclf__max_features,rfclf__n_estimators
0.4054704595185996,authors,0.4960629921259842,,,"['cvec', 'sfpr', 'mnclf']",MultinomialNB,no_stopwords,,,,,1.0,0.5,,"(1, 2)",,,0.1,1.0,,,,,,
0.4288840262582057,authors,0.4803149606299213,,,"['cvec', 'skbest', 'mnclf']",MultinomialNB,no_stopwords,,,,,1.0,0.5,,"(1, 1)",,,0.2,1.0,,,2000.0,,,
0.4803063457330416,authors,0.5551181102362205,,,"['cvec', 'skbest', 'mnclf']",MultinomialNB,no_stopwords,,,,,1.0,,,"(1, 1)",,,0.2,1.0,,,7000.0,,,
0.4928606597735106,authors,0.5698818897637795,,,"['cvec', 'mnclf']",MultinomialNB,no_stopwords,,,,,1.0,0.5,,"(1, 2)",,,0.5,0.0,,1.0,,,,
0.487964989059081,authors,0.5787401574803149,ovr,newton-cg,"['cvec', 'logit']",LogisticRegression,lemmatized,,,,,1.0,0.5,,"(1, 2)",,,,,,1.0,,,,
0.844365841334007,scripture_org_sw_no_proverbs,0.8590909090909091,,,"['vec', 'rfclf']",RandomForestClassifier,lemmatized,0.0,0.5,5000.0,"(1, 2)",,,,,,,,,,,,,,
0.8428499242041435,scripture,0.8727272727272727,,,"['vec', 'rfclf']",RandomForestClassifier,lemmatized,0.0,0.5,5000.0,"(1, 2)",,,,,,,,,,,,,,
0.8448711470439616,scripture,0.8545454545454545,,,"['vec', 'rfclf']",RandomForestClassifier,no_stopwords,0.0,0.5,,"(1, 1)",,,,,,,,,1.0,,,,,
0.8322385042950985,scripture,0.8409090909090909,,,"['vec', 'rfclf']",RandomForestClassifier,stemmed,1.0,1.0,5000.0,"(1, 1)",,,,,,,,,1.0,,,,,
0.8463870641738251,scripture,0.85,,,"['vec', 'rfclf']",RandomForestClassifier,lemmatized,0.0,0.5,2000.0,"(1, 2)",,,,,,,,,,,,entropy,,
0.8615462354724608,scripture,0.8409090909090909,,,"['vec', 'rfclf']",RandomForestClassifier,lemmatized,0.0,0.5,2000.0,"(1, 1)",,,,,,,,,,,,gini,,
0.8549772612430521,scripture,0.8681818181818182,,,"['cvec', 'rfclf']",RandomForestClassifier,lemmatized,,,,,0.0,1.0,2000.0,"(1, 2)",,,,,,,,gini,,
0.8539666498231429,scripture,0.8772727272727273,,,"['cvec', 'rfclf']",RandomForestClassifier,no_stopwords,,,,,0.0,1.0,2000.0,"(1, 2)",,,,,,,,gini,0.01,10.0
0.8706417382516423,scripture,0.8590909090909091,,,"['cvec', 'rfclf']",RandomForestClassifier,no_stopwords,,,,,0.0,0.5,2000.0,"(1, 1)",,,,,,,,,0.01,15.0
0.8590197069226883,scripture,0.8727272727272727,,,"['cvec', 'rfclf']",RandomForestClassifier,no_stopwords,,,,,0.0,0.5,2000.0,"(1, 2)",,,,,,,,entropy,0.01,15.0
0.8726629610914604,scripture,0.85,,,"['cvec', 'rfclf']",RandomForestClassifier,no_stopwords,,,,,0.0,0.5,2000.0,"(1, 1)",,,,,,,,gini,0.01,20.0
0.4035010940919037,authors,0.4763779527559055,,,"['cvec', 'rfclf']",RandomForestClassifier,lemmatized,,,,,1.0,0.5,,"(1, 1)",,,,,,,,gini,0.01,10.0
0.4142231947483589,authors,0.5118110236220472,,,"['vec', 'rfclf']",RandomForestClassifier,no_stopwords,1.0,0.5,5000.0,"(1, 1)",,,,,,,,,,,,gini,0.005,15.0
0.4319474835886215,authors,0.5039370078740157,,,"['vec', 'rfclf']",RandomForestClassifier,no_stopwords,1.0,0.5,,"(1, 1)",,,,,,,,,,,,gini,0.001,20.0
0.9312784234461848,scripture,0.9454545454545454,,,"['vec', 'mnclf']",MultinomialNB,no_stopwords,0.0,0.5,,"(1, 2)",,,,,,,0.2,0.0,,,,,,
0.5074398249452954,authors,0.6043307086614174,,,"['cvec', 'mnclf']",MultinomialNB,no_stopwords,,,,,1.0,0.5,,"(1, 2)",,,0.2,1.0,,1.0,,,,
